Latitude,Longitude,Restock,Color,Advertiser Color,Advertiser,Name,Category,Address,City,State,Zipcode,Contact Name,Contact Phone,Has Rack,Total Quantity to Deliver,Initial Delivery,Restock Quantity (6 x),Delivered to Date,Quantity Returned,Number of Deliveries,hourly,Driver,Notes,Stop #
36.96657,-122.040651,y,red,silver,,"Rip Curl, SC",surf,,Santa Cruz,,,,,,160,40,20,60,,2,,Nelson ,,24
36.96373,-121.964586,n,silver,silver,,Rocky's Gym,gym,4135 Portola Dr,Santa Cruz,CA,,Rocky,,,40,40,,20,,,,Mick,asked for just a few to start,
36.963911,-121.965053,n,blue,blue,y,Santa Cruz Boardroom,surf,825 41st Ave,Capitola,,,TC,464-2500,,42,42,,20,,,,Mick,,
36.973902,-122.025903,y,red,silver,,Santa Cruz Roasting Company,coffee,1330 Pacific Ave,Santa Cruz,CA,,,,,160,40,20,80,,2,,Nelson,,17
36.967417,-122.007873,n,blue,blue,y,Seabright Brewerey,beer,519 Seabright Ave #107,Santa Cruz,CA,,Jessica,,,40,40,,20,,,,Mick,,
36.974412,-121.912476,y,,,,Seacliff Market,food,219 State Park Drive,Aptos,CA,,,,,160,40,20,12/6/2014,,,,Bill,,
36.952624,-121.877154,n,silver,silver,,Seascape Market,food,16 Seascape Village,Aptos,CA,,,,,40,40,,12/6/2014,,,,Bill,,
36.951213,-121.876213,y,red,blue,y,Seascape Resort,lodging,1 Seascape Resort Dr,Aptos,CA,95003,Vicky/House keeping,,y,170,50,20,12/6/2014,,1,y,Bill,,
36.983984,-121.957344,n,,,,Serrano Real Estate,,2407 Porter,Soquel,CA,,,,,20,20,,,,,,,,
36.9494,-122.065,n,silver,silver,,Seymore Marine Center,other,100 Shaffer Rd,Santa Cruz,CA,,Teri Sigler,459-3800,,54,54,,,,,0.3,CPL,deliver directly to Teri,
36.987743,-121.972023,,,,,Silver Spur,dining,2650 Soquel Drive,Soquel,CA,,,,,,,,,,,,Mick,,
36.975355,-122.026779,n,blue,blue,y,Sock Shop,retail,1515 Pacific Avenue,Santa Cruz ,CA,,Lauren Graham,429-6101,no,40,40,,40,,,,Mick,Sock Shop would like 2 racks. New location for second round of delivery ,
36.980657,-122.008713,n,silver,silver,,Staff of Life,food,1266 Soquel Ave,Santa Cruz,CA,,,,,40,40,,40,,,,Mick,,
36.95816,-122.017592,n,silver,silver,y - feb,Stagnero Bros.,eating,59 Municipal Wharf,Santa Cruz,CA,,Rob,,,54,54,,40,,,,CPL,"Outside, no rack",
36.963406,-121.96636,n,blue,blue,y,SUDA,eating,3910 Portola Dr,Capitola,CA,,Mike Pitt,,y,40,40,,40,,,,Mick,Delivery done by Tyler Fox,
36.61184,-121.900347,n,,,,Sunshine Free Style,surf,443 Lighthouse Avenue,Monterey,CA,,,,,40,40,,12/8/2014,,,,Bill,,
36.963195,-122,n,blue,blue,y,SUP Stand Up Paddleboard,surf,2216 E Cliff Dr,Santa Cruz,CA,,Sonia,464-7467,,40,40,,20,,,,CPL,,
36.975785,-121.886392,n,silver,silver,,Surf City,coffee,9105 Soquel Dr,Aptos,CA,95003,,,,40,40,,12/6/2014,,,,Mick,,
36.798487,-121.783497,y,red,silver,,"Surf City, Moss Landing",coffee,7990 California 1,Moss Landing,CA,,,,y,162,42,20,12/6/2014,,,y,Bill,,
36.971303,-122.024371,n,silver,silver,,Surfrider Cafe,eating,429 Front St,Santa Cruz,CA,,Sarah/Alex,,,40,40,,,,,,Mick,,
37.060178,-122.006447,y,red,silver,,SV Market,food,14 Victor Square,Scotts Valley,CA,,Ron,,y,160,40,20,40,,,,Mick,,
36.984924,-121.956164,n,silver,silver,,The Bagelry,eating,4763 Soquel Dr,Soquel,CA,95073,,,,40,40,,,,,,Mick,,
36.976864,-122.015946,y,red,silver,,The Buttery,bakery,702 Soquel Ave,Santa Cruz,CA,,Janet,,,200,80,20,80,,2,,Nelson ,owner Janet,14
37.06136,-122.006542,,,,,The Hop Head,beer,18 Victor Square,Scotts Valley,CA,,,,,,,,,,,,Mick,,
36.963076,-122.000814,,,,,The Kind Grind,,2222 East Cliff Drive,Santa Cruz,CA,95062,,,,,,,,,,,,,
36.963111,-122.023031,,,,,The Picnic Basket,food,125 Beach St,Santa Cruz,CA,95060,Zach,,y,160,40,20,40,,,,Nelson ,,
37.010847,-122.193911,n,silver,silver,,The Road House,eating,1 Davenport Ave,Davenport,CA,,Don,426-8801,y,27,27,,,,,0.5,CPL,Place outside in rack,
36.799617,-121.783424,n,silver,silver,,The Whole Enchilada,eating,7990 California 1,Moss Landing,CA,,,,,42,42,,,,,y,Bill,,
36.986304,-121.936454,,,,,Thrive,other,2840 Park Avenue,Soquel,CA,,,,,,,,,,,,Bill,,
36.98438,-121.964994,n,,,y,Thunderbird Real Estate,,2601 41st Avenue,Capitola,CA,,,,,40,40,,20,,,,Mick,,
37.220027,-121.985619,n,silver,silver,,Toll House,other,140 S Santa Cruz Ave,Los Gatos,CA,,,,y,40,40,,,,,,SCWaves,,
36.97735,-122.055975,n,silver,silver,,UCSC Library,other,1156 High Street,Santa Cruz,CA,,,,,120,120,,40,,,,Mick,,
36.987974,-121.95748,n,silver,silver,,Ugly Mug,coffee,4640 Soquel Dr,Soquel,CA,,,,,40,40,,12/6/2014,,,,Bill,,
36.971876,-121.953677,n,silver,silver,,Venetian Village,lodging,1500 Wharf Rd,Capitola,CA,,,,,40,40,,,,,,Mick,,
36.975969,-121.901099,n,,,y,Warmth Company,,140 Post Office Drive,Aptos,CA,,Naomi,,,40,40,,,,,,SCWaves,,
36.959017,-122.047318,n,blue,blue,y,West End Tap & Kitchen,beer,,Santa Cruz,CA,95060,Jeremy,,,54,54,,20,,,,CPL,,
36.96089,-122.044569,y,red,silver,,Westside Coffee,coffee,849 Almar Ave,Santa Cruz,CA,95060,,427-1300,,189,27,27,20,,,,Nelson ,,25
37.011443,-122.195097,n,blue,blue,y,Whale City Bakery,bakery,490 Coast Rd,Davenport,CA,,Chris,423-9009,,27,27,,,,,0.5,CPL,,
